1	25.05.2022	25.05.2022	CARD	CARD	_	2	attr	_	_
2	Samstag	Samstag	N	NN	_|Dat|Sg	1	pn	_	_
3	und	und	KON	KON	_	2	kon	_	_
4	Sonnstag	Sonnstag	N	NN	Neut|Dat|Sg	3	cj	_	_
5	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
6	alle	alle	ART	PIDAT	_|_|_	7	det	_	_
7	Museums	Museum	N	NN	Neut|Gen|Sg	5	objg	_	_
8	kostenloss	kostenloss	V	VVINF	_	0	root	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Das	die	PRO	PDS	Neut|Acc|Sg	2	obja	_	_
2	finde	finden	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
4	einfach	einfach	ADV	ADJD	Pos|	2	adv	_	_
5	toll	toll	ADV	ADJD	Pos|	2	pred	_	_
6	!	!	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	warte	warten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	auf	auf	PREP	APPR	Acc	2	pp	_	_
4	deine	deine	ART	PPOSAT	Fem|Acc|Sg	5	det	_	_
5	Antwort	Antwort	N	NN	Fem|Acc|Sg	3	pn	_	_
6	.	.	$.	$.	_	0	root	_	_

1	Bitte	Bitte	ITJ	ITJ	_	0	root	_	_
2	,	,	$,	$,	_	0	root	_	_
3	schreib	schreiben	V	VVIMP	Sg	0	root	_	_
4	mir	ich	PRO	PPER	1|Sg|_|Dat	3	objd	_	_
5	bald	bald	ADV	ADV	_	4	adv	_	_
6	!	!	$.	$.	_	0	root	_	_

1	Küsse	Kuss	N	NN	Masc|_|Pl	0	root	_	_
2	,	,	$,	$,	_	0	root	_	_
3	Eva	Eva	N	NE	Masc|_|Pl	1	app	_	_
4	-image-	-image-	N	NE	Masc|_|Pl	3	app	_	_

