1	Liebe	Liebe	N	NN	_|_|_	7	vok	_	_
3	des	die	ART	ART	Def|Masc|Gen|Sg	4	det	_	_
4	Hunds	Hund	N	NN	Masc|Gen|Sg	2	gmod	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	in	in	PREP	APPR	Dat	5	pp	_	_
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	_
8	Garage	Garage	N	NN	Fem|Dat|Sg	6	pn	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	zu	zu	PREP	APPR	Dat	5	pp	_	_
4	Haus	Haus	N	NN	Neut|Dat|Sg	3	pn	_	_
5	zurückfahren	zurückfahren	V	VVINF	_	2	aux	_	_
6	am	an	PREP	APPRART	Dat	5	pp	_	_
7	Sonntag	Sonntag	N	NN	Masc|Dat|Sg	6	pn	_	_
8	15	15	CARD	CARD	_	9	attr	_	_
9	Janaur	Janaur	N	NN	_|Gen|Pl	7	gmod	_	_
10	.	.	$.	$.	_	0	root	_	_

1	Bevor	bevor	KOUS	KOUS	_	5	konj	_	_
2	ich	ich	PRO	PPER	1|Sg|_|Nom	5	subj	_	_
3	nach	nach	PREP	APPR	Dat	5	pp	_	_
4	Köln	Köln	N	NE	Neut|Dat|Sg	3	pn	_	_
5	fahre	fahren	V	VVFIN	1|Sg|Pres|_	7	neb	_	_
6	,	,	$,	$,	_	0	root	_	_
7	besuche	besuchen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
8	ich	ich	PRO	PPER	1|Sg|_|Nom	7	subj	_	_
9	ihrem	ihre	ART	PPOSAT	Neut|Dat|Sg	10	det	_	_
10	Haus	Haus	N	NN	Neut|Dat|Sg	7	objd	_	_
11	und	und	KON	KON	_	7	kon	_	_
12	gebe	geben	V	VVFIN	_|Sg|Pres|_	11	cj	_	_
13	Sie	sie	PRO	PPER	3|_|_|Acc	12	obja	_	_
14	der	die	ART	ART	Def|Masc|_|_	15	det	_	_
15	Schlüssel	Schlüssel	N	NN	Masc|_|_	0	root	_	_
16	meines	meine	ART	PPOSAT	_|Gen|Sg	17	det	_	_
17	Haus	Haus	N	NN	_|Gen|Sg	15	gmod	_	_
18	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	bedanke	bedanken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	PRO	PRF	1|Sg|Acc	2	obja	_	_
4	für	für	PREP	APPR	Acc	2	pp	_	_
5	Ihre	ihre	ART	PPOSAT	Fem|Acc|Sg	6	det	_	_
6	Hilfe	Hilfe	N	NN	Fem|Acc|Sg	4	pn	_	_
7	.	.	$.	$.	_	0	root	_	_

1	Mit	mit	PREP	APPR	Dat	0	root	_	_
2	freundlichen	freundlich	ADJA	ADJA	Pos|_|Dat|_|_|	3	attr	_	_
3	Grüßen	Gruß	N	NN	_|Dat|_	1	pn	_	_
4	,	,	$,	$,	_	0	root	_	_
5	Katharina	Katharina	N	NE	_|Dat|Sg	3	app	_	_
6	Meier	Meier	N	NE	_|Dat|Sg	5	app	_	_

