1	Thailand	Thailand	N	NE	Neut|_|Sg	3	vok	_	_
1	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	noch	noch	ADV	ADV	_	2	adv	_	_
4	Arbeit	Arbeit	N	NN	Fem|Nom|Sg	2	pred	_	_
5	suchen	suchen	V	VVINF	_	0	root	_	_
6	,	,	$,	$,	_	0	root	_	_
7	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	_
8	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
9	Zeit	Zeit	N	NN	Fem|Acc|Sg	8	obja	_	_
10	und	und	KON	KON	_	9	kon	_	_
11	auch	auch	ADV	ADV	_	12	adv	_	_
12	Lust	Lust	N	NN	Fem|Acc|Sg	10	cj	_	_
13	für	für	PREP	APPR	Acc	12	pp	_	_
14	dich	du	PRO	PPER	2|Sg|_|Acc	13	pn	_	_
15	da	da	ADV	ADV	_	8	adv	_	_
16	bis	bis	PREP	APPR	Acc	8	pp	_	_
17	bald	bald	ADV	ADV	_	16	adv	_	_
18	,	,	$,	$,	_	0	root	_	_
19	wan	wan	KOUS	KOUS	_	21	konj	_	_
20	du	du	PRO	PPER	2|Sg|_|Nom	21	subj	_	_
21	kommst	kommen	V	VVFIN	2|Sg|Pres|Ind	23	neb	_	_
22	ich	ich	PRO	PPER	1|Sg|_|Nom	21	pred	_	_
23	komme	kommen	V	VVFIN	_|Sg|Pres|_	8	kon	_	_
24	mit	mit	PREP	APPR	Dat	23	pp	_	_
25	meine	meine	ART	PPOSAT	Neut|_|Pl	26	det	_	_
26	Autos	Auto	N	NN	Neut|_|Pl	24	pn	_	_
27	im	in	PREP	APPRART	Dat	23	pp	_	_
28	Banhof	Banhof	N	NN	Masc|Dat|Sg	27	pn	_	_
29	abholen	abholen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
30	ok	ok	N	NE	_|Nom|Pl	29	subj	_	_
31	?	?	$.	$.	_	0	root	_	_

1	Liebe	lieb	ADJA	ADJA	Pos|Masc|_|Pl|St|	2	attr	_	_
2	Grüße	Gruß	N	NN	Masc|_|Pl	0	root	_	_
3	deine	deine	ART	PPOSAT	Fem|_|Sg	4	det	_	_
4	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	_	_

