1	28.02.2012	28.02.2012	CARD	CARD	_	0	root	_	_
4	besuchen	besuchen	V	VVINF	_	2	aux	_	_
5	und	und	KON	KON	_	2	kon	_	_
6	kann	können	V	VMFIN	_|Sg|Pres|Ind	5	cj	_	_
7	nach	nach	PREP	APPR	Dat	9	pp	_	_
8	Prüfung	Prüfung	N	NN	Fem|Dat|Sg	7	pn	_	_
9	besuchen	besuchen	V	VVINF	_	6	aux	_	_
10	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	wünsche	wünschen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	PRO	PRF	1|Sg|Acc	2	obja	_	_
4	neu	neu	ADV	ADJD	Pos|	2	adv	_	_
5	Handy	Handy	N	NN	Neut|Dat|Sg	2	objd	_	_
6	,	,	$,	$,	_	0	root	_	_
7	damit	damit	KOUS	KOUS	_	12	konj	_	_
8	mein	meine	ART	PPOSAT	Neut|Nom|Sg	9	det	_	_
9	Handy	Handy	N	NN	Neut|Nom|Sg	12	subj	_	_
10	nicht	nicht	PTKNEG	PTKNEG	_	12	adv	_	_
11	gut	gut	ADV	ADJD	Pos|	12	adv	_	_
12	funktioniert	funktionieren	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	_
13	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	bis	bis	PREP	APPR	Acc	2	pp	_	_
4	bald	bald	ADV	ADV	_	3	adv	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Liebe	lieb	ADJA	ADJA	Pos|Masc|_|Pl|St|	2	attr	_	_
2	Grüße	Gruß	N	NN	Masc|_|Pl	0	root	_	_
3	Michael	Michael	N	NE	Masc|_|Sg	2	app	_	_

