1	24.02.12	24.02.12	CARD	CARD	_	0	root	_	_
5	bald	bald	ADV	ADV	_	2	adv	_	_
6	Geburtstag	Geburtstag	N	NN	_|Acc|Sg	2	obja	_	_
7	,	,	$,	$,	_	0	root	_	_
8	vielleicht	vielleicht	ADV	ADV	_	9	adv	_	_
9	konntest	können	V	VMFIN	2|Sg|Past|Ind	2	kon	_	_
10	du	du	PRO	PPER	2|Sg|_|Nom	9	subj	_	_
11	mir	ich	PRO	PPER	1|Sg|_|Dat	14	objd	_	_
12	ein	eine	ART	ART	Indef|Neut|Acc|Sg	13	det	_	_
13	Buch	Buch	N	NN	Neut|Acc|Sg	14	obja	_	_
14	schenken	schenken	V	VVINF	_	9	aux	_	_
15	oder	oder	KON	KON	_	0	root	_	_
16	eine	eine	ART	ART	Indef|Fem|_|Sg	17	det	_	_
17	CD	CD	N	NN	Fem|_|Sg	15	cj	_	_
18	mit	mit	PREP	APPR	Dat	17	pp	_	_
19	schöne	schön	ADJA	ADJA	Pos|Fem|_|Sg|_|	20	attr	_	_
20	Musik	Musik	N	NN	Fem|_|Sg	18	pn	_	_
21	,	,	$,	$,	_	0	root	_	_
22	aber	aber	KON	KON	_	0	root	_	_
23	das	die	PRO	PDS	Neut|Nom|Sg	24	subj	_	_
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	22	cj	_	_
25	nicht	nicht	PTKNEG	PTKNEG	_	24	adv	_	_
26	so	so	ADV	ADV	_	27	adv	_	_
27	wichtich	wichtich	ADV	ADJD	_	24	pred	_	_
28	.	.	$.	$.	_	0	root	_	_

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	mich	ich	PRO	PPER	1|Sg|_|Acc	5	obja	_	_
4	sehr	sehr	ADV	ADV	_	5	adv	_	_
5	freuen	freuen	V	VVINF	_	2	aux	_	_
6	,	,	$,	$,	_	0	root	_	_
7	wenn	wenn	KOUS	KOUS	_	8	konj	_	_
8	kommst	kommen	V	VVFIN	2|Sg|Pres|Ind	2	neb	_	_
9	Du	du	PRO	PPER	2|Sg|_|Nom	8	subj	_	_
10	mir	ich	PRO	PPER	1|Sg|_|Dat	8	objd	_	_
11	seine	seine	ART	PPOSAT	_|Nom|_	12	det	_	_
12	Fammilie	Fammilie	N	NN	_|Nom|_	8	pred	_	_
13	auf	auf	PREP	APPR	Acc	12	pp	_	_
14	meine	meine	ART	PPOSAT	Neut|Acc|Sg	15	det	_	_
15	Geburtstag	Geburtstag	N	NN	Neut|Acc|Sg	13	pn	_	_
16	.	.	$.	$.	_	0	root	_	_

1	Schöne	schön	ADJA	ADJA	Pos|Masc|_|Pl|St|	2	attr	_	_
2	Grüße	Gruß	N	NN	Masc|_|Pl	0	root	_	_
3	Maria	Maria	N	NE	_|_|Sg	2	app	_	_
4	Winkelmann	Winkelmann	N	NE	_|_|Sg	3	app	_	_

